Zone,Wildlife,Pollution,Safety,Population,Volunteers
"Lucas County, OH, USA",26,6616,2.942519212,3597514,719
"San Diego County, CA, USA",45,5383,24.35367619,7853477,1570
"Brunswick County, NC, USA",126,6369,9.808568593,1486845,297
"Volusia County, FL, USA",140,4932,17.21101968,10409900,2081
"San Mateo County, CA, USA",65,408,17.14325678,7237370,1447
"San Mateo County, CA, USA",92,1430,19.92276493,7237370,1447
"Pinellas County, FL, USA",28,12093,6.406763671,9904308,1980
"King County, WA, USA",122,3656,10.67141498,2726805,545
"Volusia County, FL, USA",98,8192,16.2456469,10409900,2081
"New York County, New York, NY, USA",99,4022,23.91142291,3035344,607
"Sonoma County, CA, USA",136,5427,20.36199027,4304791,860
"Arlington County, Arlington, VA, USA",122,9555,21.36005601,4092437,818
"San Diego County, CA, USA",93,1460,14.53013294,7853477,1570
"Palm Beach County, FL, USA",134,33,20.44530169,8732606,1746
"Allegan County, MI, USA",84,917,13.02273083,7166813,1433
"Douglas County, NE, USA",133,5725,10.48179532,10514390,2102
"Brevard County, FL, USA",91,12078,19.68568509,10924815,2184
"Volusia County, FL, USA",101,7418,21.66608691,10409900,2081
"Frederick County, MD, USA",146,7608,11.68669569,8059622,1611
"Santa Cruz County, CA, USA",33,11879,11.76861376,9311168,1862
"San Luis Obispo County, CA, USA",134,8593,22.85458173,9389152,1877
"King County, WA, USA",50,5019,4.609432966,2726805,545
"Suffolk County, NY, USA",44,937,16.16430679,9280308,1856
"Miami-Dade County, FL, USA",108,5288,7.604444759,4518308,903
"Glynn County, GA, USA",35,3031,6.913475669,8314274,1662
"Pinellas County, FL, USA",136,10823,17.60168338,9904308,1980
"Volusia County, FL, USA",81,10440,12.46507261,10409900,2081
"Whatcom County, WA, USA",82,976,22.10204387,5568965,1113
"Los Angeles County, CA, USA",119,7765,10.2321245,1214104,242
"Fairfax County, VA, USA",148,4127,21.47354519,4147338,829
"Miami-Dade County, FL, USA",107,4936,11.8147039,4518308,903
"Santa Cruz County, CA, USA",147,5411,17.75632362,9311168,1862
"Kings County, Brooklyn, NY, USA",51,3321,2.516148272,4380429,876
"Miami-Dade County, FL, USA",65,360,10.89092107,4518308,903
"Lucas County, OH, USA",119,2855,19.22323568,3597514,719
"Monterey County, CA, USA",116,6678,4.303326493,5092501,1018
"Monroe County, FL, USA",58,1501,18.13351831,2714433,542
"Volusia County, FL, USA",113,5218,24.30112818,10409900,2081
"Brevard County, FL, USA",135,11058,2.486079512,10924815,2184
"San Diego County, CA, USA",149,8613,4.26684667,7853477,1570
"Los Angeles County, CA, USA",73,9114,16.1595743,1214104,242
"Suffolk County, NY, USA",146,5458,19.80727166,9280308,1856
"Santa Barbara County, CA, USA",88,8040,11.66107462,7045521,1409
"Pinellas County, FL, USA",3,10647,16.24876034,9904308,1980
"Indian River County, FL, USA",0,11895,4.794106936,4124460,824
"Palm Beach County, FL, USA",79,6721,12.576503,8732606,1746
"San Mateo County, CA, USA",55,12086,15.98777982,7237370,1447
"Pinellas County, FL, USA",116,12061,6.435376488,9904308,1980
"Galveston County, TX, USA",43,1402,16.11668501,1286716,257
"Prince William County, VA, USA",44,8917,3.156201869,3965518,793
"Los Angeles County, CA, USA",134,8802,5.674830129,1214104,242
"Maricopa County, AZ, USA",146,6995,20.00762013,12259990,2451
"Ottawa County, MI, USA",102,1213,16.63833784,1587852,317
"Grays Harbor County, WA, USA",52,6193,8.383198486,12029490,2405
"Pinellas County, FL, USA",57,2810,7.555239499,9904308,1980
"Lincoln County, OR, USA",22,1282,15.25160845,3663964,732
"Newport News, VA, USA",67,8806,3.465311058,4511247,902
"Brunswick County, NC, USA",82,5084,14.71467648,1486845,297
"Orange County, CA, USA",100,5380,13.45303049,6304735,1260
"Sonoma County, CA, USA",150,1857,4.707940735,4304791,860
"Broward County, FL, USA",112,9140,19.80024594,2737526,547
"Palm Beach County, FL, USA",89,1287,7.810243844,8732606,1746
"Los Angeles County, CA, USA",49,3927,6.571727772,1214104,242
"Jefferson Parish, LA, USA",143,9924,6.203371766,3236839,647
"Douglas County, NE, USA",34,9687,10.36942625,10514390,2102
"Martin County, FL, USA",21,1185,16.27131268,1363198,272
"Knox County, ME, USA",27,7582,8.220480062,9282054,1856
"Jasper County, IA, USA",82,4277,14.37940327,7246436,1449
"Miami-Dade County, FL, USA",38,464,9.942109962,4518308,903
"San Diego County, CA, USA",12,7573,15.3725833,7853477,1570
"Pinellas County, FL, USA",82,7664,3.079567353,9904308,1980
"Lincoln County, OR, USA",63,68,24.14856024,3663964,732
"Baraga County, MI, USA",49,9359,6.739599783,5411468,1082
"Cuyahoga County, OH, USA",98,7469,24.82207762,11208521,2241
"Sussex County, DE, USA",13,4997,24.50309835,2084925,416
"Arlington County, Arlington, VA, USA",33,2948,0.402148791,4092437,818
"Walton County, FL, USA",1,1581,9.019822913,10587059,2117
"Carteret County, NC, USA",8,10629,11.65441849,1244281,248
"Pinellas County, FL, USA",106,7592,19.39761993,9904308,1980
"Palm Beach County, FL, USA",140,2757,4.928665739,8732606,1746
"Palm Beach County, FL, USA",43,1052,7.956542294,8732606,1746
"Colleton County, SC, USA",122,8342,4.740712738,6327439,1265
"San Diego County, CA, USA",34,10229,22.64931027,7853477,1570
"Hampshire County, MA, USA",137,3709,9.320856979,5847155,1169
"Milwaukee County, WI, USA",144,7642,15.32708422,1417906,283
"Volusia County, FL, USA",74,11618,17.79620082,10409900,2081
"Berrien County, MI, USA",68,7294,16.13331724,9262030,1852
"Volusia County, FL, USA",104,6574,10.96368594,10409900,2081
"Indian River County, FL, USA",41,8839,11.55883698,4124460,824
"San Diego County, CA, USA",2,491,24.16769913,7853477,1570
"Wood County, OH, USA",110,2609,10.04168369,7951236,1590
"Volusia County, FL, USA",108,8828,5.592922342,10409900,2081
"San Diego County, CA, USA",8,7401,8.962110404,7853477,1570
"Miami-Dade County, FL, USA",81,2129,19.115972,4518308,903
"Volusia County, FL, USA",9,5708,15.21345041,10409900,2081
"Kenosha County, WI, USA",81,9033,7.704354838,7366853,1473
"Broward County, FL, USA",35,387,21.07900186,2737526,547
"Paulding County, GA, USA",14,576,4.539835169,8695049,1739
"Onslow County, NC, USA",74,11889,4.872448801,9053570,1810
"Charleston County, SC, USA",100,5571,11.10073007,4774582,954
"Santa Barbara County, CA, USA",60,3579,16.11891068,7045521,1409
"Palm Beach County, FL, USA",105,8081,20.37246942,8732606,1746
"Washington County, RI, USA",136,4641,7.565499635,5048667,1009
"Hampden County, MA, USA",135,11171,19.21662502,3232556,646
"Benzie County, MI, USA",90,11198,7.309689984,644048,128
"Erie County, PA, USA",0,11890,15.10767041,10452065,2090
"Gila County, AZ, USA",139,12053,23.98049165,4156081,831
"Chesapeake, VA, USA",150,7365,10.27468938,5448198,1089
"Palm Beach County, FL, USA",92,3311,16.17935258,8732606,1746
"Dixie County, FL, USA",42,1328,20.68619801,1750892,350
"Maui County, HI, USA",134,1497,2.810444525,5575846,1115
"Cuyahoga County, OH, USA",72,9528,4.068988332,11208521,2241
"Norfolk County, MA, USA",25,11046,11.61263465,9624386,1924
"Pinellas County, FL, USA",144,3855,21.00810127,9904308,1980
"Leelanau County, MI, USA",90,6788,17.9479811,9538233,1907
"Charlotte County, FL, USA",94,3154,24.54869722,6584509,1316
"Palm Beach County, FL, USA",115,5865,12.02688969,8732606,1746
"Fairfield County, CT, USA",94,11671,22.22251882,598941,119
"Los Angeles County, CA, USA",102,8567,10.2642185,1214104,242
"Miami-Dade County, FL, USA",10,9104,7.136676816,4518308,903
"Suffolk County, NY, USA",118,9603,12.0174218,9280308,1856
"San Diego County, CA, USA",139,1570,3.818492289,7853477,1570
"Rockingham County, NH, USA",78,9323,17.11137491,5146074,1029
"Lake County, IL, USA",59,11171,13.76775525,7648079,1529
"San Francisco County, CA, USA",3,5065,16.23378337,1677439,335
"Baraga County, MI, USA",43,12091,1.109549869,5411468,1082
"Hampton, VA, USA",12,10076,11.68305083,9345868,1869
"San Diego County, CA, USA",147,12169,22.50230874,7853477,1570
"Palm Beach County, FL, USA",95,4340,22.38524759,8732606,1746
"Palm Beach County, FL, USA",99,10164,21.58278823,8732606,1746
"Solano County, CA, USA",135,1134,0.655715936,9991659,1998
"Brevard County, FL, USA",44,10129,11.43344092,10924815,2184
"Los Angeles County, CA, USA",38,9225,9.551220988,1214104,242
"Sarasota County, FL, USA",6,8433,11.67284577,12128650,2425
"King County, WA, USA",128,7523,10.77991193,2726805,545
"Orange County, CA, USA",39,5160,20.90592777,6304735,1260
"Matagorda County, TX, USA",109,7231,3.339367423,1083379,216
"Miami-Dade County, FL, USA",26,4155,3.109688632,4518308,903
"Palm Beach County, FL, USA",55,839,16.32319627,8732606,1746
"Allegheny County, PA, USA",63,11675,5.466052316,8659794,1731
"Cumberland County, PA, USA",16,12284,7.79603355,2067544,413
"Brevard County, FL, USA",146,8550,12.50342378,10924815,2184
"Monmouth County, NJ, USA",119,7683,7.641964488,10682732,2136
"Fredericksburg, VA 22401, USA",23,4901,20.48039444,1341724,268
"Monterey County, CA, USA",33,4526,16.03197459,5092501,1018
"San Luis Obispo County, CA, USA",138,583,4.070688074,9389152,1877
"Pinellas County, FL, USA",67,12325,23.38854289,9904308,1980
"Leelanau County, MI, USA",17,6309,24.42873356,9538233,1907
"Cumberland County, ME, USA",18,3979,7.906037384,9265149,1853
"Barnstable County, MA, USA",57,1905,20.24053891,478154,95
"Cuyahoga County, OH, USA",102,10490,6.143370241,11208521,2241
"Miami-Dade County, FL, USA",21,6476,6.646958262,4518308,903
"Palm Beach County, FL, USA",37,10166,7.261024071,8732606,1746
"Brevard County, FL, USA",57,11658,24.39959297,10924815,2184
"Hunterdon County, NJ, USA",110,665,8.750686287,713136,142
"San Diego County, CA, USA",41,8381,16.5798448,7853477,1570
"Palm Beach County, FL, USA",144,11638,19.12520874,8732606,1746
"Wayne County, NC, USA",15,12117,4.575076763,7569900,1513
"Colleton County, SC, USA",48,307,22.32080323,6327439,1265
"Kent County, DE, USA",54,11516,3.998383385,736114,147
"Brunswick County, NC, USA",59,12304,23.74461259,1486845,297
"Suffolk County, NY, USA",134,7814,4.687536922,9280308,1856
"Colleton County, SC, USA",53,2109,10.63663999,6327439,1265
"Santa Cruz County, CA, USA",134,2121,12.29503297,9311168,1862
"Virginia Beach, VA, USA",24,11068,5.371816598,8317810,1663
"Palm Beach County, FL, USA",114,6790,16.31690542,8732606,1746
"Erie County, PA, USA",119,283,10.29073227,10452065,2090
"Beaver County, PA, USA",77,10241,14.51503224,6702543,1340
"Indian River County, FL, USA",141,6261,17.48318401,4124460,824
"Leelanau County, MI, USA",42,4133,18.46770817,9538233,1907
"Bronx County, NY, USA",17,8159,14.21780529,9097502,1819
"Douglas County, NE, USA",116,11160,18.48521949,10514390,2102
"Cape May County, NJ, USA",22,6939,15.78714756,2080077,416
"Anne Arundel County, MD, USA",38,2064,17.95320826,5778438,1155
"Palm Beach County, FL, USA",73,1826,0.857478507,8732606,1746
"Fairfield County, CT, USA",33,1958,16.50300593,598941,119
"Ottawa County, MI, USA",13,3392,14.25190032,1587852,317
"San Diego County, CA, USA",76,1554,23.57602431,7853477,1570
"Volusia County, FL, USA",39,6911,11.85915652,10409900,2081
"Delaware County, NY, USA",144,7444,0.116017193,648031,129
"Pinellas County, FL, USA",18,2366,22.25669558,9904308,1980
"Santa Cruz County, CA, USA",149,6930,8.590970248,9311168,1862
"Benzie County, MI, USA",43,890,9.379764134,644048,128
"Suffolk County, NY, USA",79,342,10.97493029,9280308,1856
"Walton County, FL, USA",102,4260,14.70334151,10587059,2117
"Erie County, PA, USA",77,7054,7.548703614,10452065,2090
"Providence County, RI, USA",43,9356,7.222664123,8756613,1751
"Chesterfield County, VA, USA",93,10509,23.76134795,8861964,1772
"Alameda County, CA, USA",62,9299,1.111407454,11589551,2317
"Los Angeles County, CA, USA",119,3733,21.68269877,1214104,242
"Cuyahoga County, OH, USA",21,10988,12.03353327,11208521,2241
"Volusia County, FL, USA",102,11286,23.90458411,10409900,2081
"Los Angeles County, CA, USA",93,5750,6.020798052,1214104,242
"Martin County, FL, USA",13,10143,17.98360589,1363198,272
"Los Angeles County, CA, USA",92,5908,23.8096222,1214104,242
"Indian River County, FL, USA",110,7140,9.478530243,4124460,824
"Humboldt County, CA, USA",11,10708,5.882287605,9769130,1953
"Palm Beach County, FL, USA",13,8179,16.5351723,8732606,1746
"Nassau County, NY, USA",63,4629,25.06902035,10228457,2045
"Galveston County, TX, USA",39,3248,6.275709081,1286716,257
"Washington County, ME, USA",112,10492,21.25349403,6796551,1359
"Los Angeles County, CA, USA",18,7755,21.56339847,1214104,242
"Boulder County, CO, USA",146,4118,2.352275408,11977115,2395
"Volusia County, FL, USA",90,1425,16.31006662,10409900,2081
"Ventura County, CA, USA",32,2980,20.79883626,11216018,2243
"Broward County, FL, USA",25,7397,24.94209442,2737526,547
"Indian River County, FL, USA",103,302,9.694443143,4124460,824
"Cook County, IL, USA",67,3954,18.91512513,9067522,1813
"Pinellas County, FL, USA",73,7804,23.78305999,9904308,1980
"Mendocino County, CA, USA",40,2906,20.33051491,9863517,1972
"Broward County, FL, USA",124,660,16.79272258,2737526,547
"Volusia County, FL, USA",37,1397,10.81717214,10409900,2081
"Georgetown County, SC, USA",98,10794,7.511593621,564915,112
"Miami-Dade County, FL, USA",30,3797,2.427842925,4518308,903
"Ottawa County, MI, USA",44,4875,1.212452173,1587852,317
"Manitowoc County, WI, USA",102,11466,23.51819985,11041113,2208
"Palm Beach County, FL, USA",104,8718,24.22266927,8732606,1746
"Boulder County, CO, USA",0,7632,6.440008518,11977115,2395
"Mendocino County, CA, USA",61,5860,22.40556421,9863517,1972
"Worcester County, MD, USA",62,5443,24.34313754,3516629,703
"Miami-Dade County, FL, USA",145,9597,9.248998374,4518308,903
"Pinellas County, FL, USA",27,11725,19.78533574,9904308,1980
"Aransas County, TX, USA",16,10757,2.914098434,7274340,1454
"Lucas County, OH, USA",102,10525,12.32607654,3597514,719
"Los Angeles County, CA, USA",43,3428,7.888155367,1214104,242
"Palm Beach County, FL, USA",50,745,0.187217665,8732606,1746
"Kings County, Brooklyn, NY, USA",57,71,7.677882872,4380429,876
"Sonoma County, CA, USA",121,8076,12.37048247,4304791,860
"Washington, DC, USA",115,5343,10.48480678,8678626,1735
"Leelanau County, MI, USA",110,9426,15.3419928,9538233,1907
"Charleston County, SC, USA",2,3128,14.63171866,4774582,954
"Martin County, FL, USA",95,3207,6.837831134,1363198,272
"Miami-Dade County, FL, USA",70,4591,16.92940716,4518308,903
"Virginia Beach, VA, USA",77,4288,18.72185179,8317810,1663
"Aiken County, SC, USA",18,11888,11.65685676,12021887,2404
"Liberty County, GA, USA",142,3047,18.82370897,7707685,1541
"San Diego County, CA, USA",53,12151,20.20561953,7853477,1570
"Miami-Dade County, FL, USA",35,6991,7.485666051,4518308,903
"Volusia County, FL, USA",142,10030,6.958232622,10409900,2081
"Middlesex County, CT, USA",63,8390,12.06090918,7064886,1412
"Cuyahoga County, OH, USA",39,467,18.77582159,11208521,2241
"Palm Beach County, FL, USA",85,11512,19.91334503,8732606,1746
"Prince George's County, MD, USA",63,11539,22.06923522,9078080,1815
"Collin County, TX, USA",50,4314,1.233189437,1795840,359
"Miami-Dade County, FL, USA",60,8593,7.672570765,4518308,903
"Cook County, IL, USA",59,8063,16.43284117,9067522,1813
"Alameda County, CA, USA",148,11466,19.18296195,11589551,2317
"Hampden County, MA, USA",35,12111,0.669334488,3232556,646
"San Mateo County, CA, USA",136,3159,22.99349,7237370,1447
"King County, WA, USA",38,11982,13.50217364,2726805,545
"Nassau County, NY, USA",85,3560,17.36666658,10228457,2045
"New Castle County, DE, USA",117,11825,19.55315377,8057796,1611
"Prince William County, VA, USA",82,5846,1.968943138,3965518,793
"St Johns County, FL, USA",32,4228,15.43317369,9244498,1848
"Miami-Dade County, FL, USA",74,11005,18.08554887,4518308,903
"Suffolk County, NY, USA",62,4535,15.27621019,9280308,1856
"Providence County, RI, USA",16,6164,1.231481222,8756613,1751
"Barnstable County, MA, USA",31,7759,19.97951239,478154,95
"Sussex County, DE, USA",108,11315,18.78811987,2084925,416
"Volusia County, FL, USA",74,3582,2.311774936,10409900,2081
"Marin County, CA, USA",42,5247,11.27742233,2222618,444
"Hartford County, CT, USA",105,12226,10.60686312,9827347,1965
"Galveston County, TX, USA",48,5830,22.8718691,1286716,257
"Leelanau County, MI, USA",76,6962,0.44308935,9538233,1907
"Los Angeles County, CA, USA",23,9810,4.941495311,1214104,242
"Los Angeles County, CA, USA",50,3348,2.231864617,1214104,242
"Benzie County, MI, USA",47,8346,11.08281991,644048,128
"Palm Beach County, FL, USA",106,8225,5.302632874,8732606,1746
"Monroe County, FL, USA",59,8522,3.976892822,2714433,542
"Miami-Dade County, FL, USA",59,11818,8.363126628,4518308,903
"Queens County, Queens, NY, USA",19,12126,13.80782797,530526,106
"Palm Beach County, FL, USA",4,7425,9.9746232,8732606,1746
"San Diego County, CA, USA",118,5740,19.21024859,7853477,1570
"Erie County, PA, USA",55,3449,16.4753681,10452065,2090
"Miami-Dade County, FL, USA",21,3175,1.112982453,4518308,903
"San Diego County, CA, USA",41,1362,0.435292403,7853477,1570
"Alameda County, CA, USA",83,3601,0.012329425,11589551,2317
"Hampton, VA, USA",67,11958,15.77109058,9345868,1869
"San Diego County, CA, USA",58,6184,8.682472362,7853477,1570
"Hillsborough County, FL, USA",56,8977,0.611075811,2408043,481
"Kent County, RI, USA",80,4888,4.514766434,3765194,753
"St Lucie County, FL, USA",2,9252,9.352387059,7424019,1484
"Providence County, RI, USA",109,10732,3.324363253,8756613,1751
"Miami-Dade County, FL, USA",51,1525,17.28442473,4518308,903
"Baldwin County, AL, USA",86,3591,23.74650092,11219138,2243
"Washington County, OR, USA",50,3903,18.65967078,4672539,934
"Los Angeles County, CA, USA",8,8550,20.61733613,1214104,242
"Cumberland County, ME, USA",146,10124,12.78227039,9265149,1853
"Virginia Beach, VA, USA",1,11152,19.47360681,8317810,1663
"Volusia County, FL, USA",138,10459,10.36176639,10409900,2081
"Galveston County, TX, USA",86,12003,0.878313111,1286716,257
"St Johns County, FL, USA",83,5360,8.694900833,9244498,1848
"Galveston County, TX, USA",90,9611,20.7403107,1286716,257
"Cook County, IL, USA",57,3023,8.727848735,9067522,1813
"Hampshire County, MA, USA",102,523,21.57734368,5847155,1169
"San Diego County, CA, USA",116,5568,11.02134039,7853477,1570
"Miami-Dade County, FL, USA",113,1057,22.59467592,4518308,903
"Liberty County, GA, USA",14,8464,12.33223572,7707685,1541
"Miami-Dade County, FL, USA",83,8284,11.78347226,4518308,903
"Martin County, FL, USA",121,11156,13.15946527,1363198,272
"Brevard County, FL, USA",8,1624,24.11613732,10924815,2184
"Cook County, IL, USA",27,6324,3.505533323,9067522,1813
"Carteret County, NC, USA",28,2231,13.73572705,1244281,248
"Los Angeles County, CA, USA",38,5770,21.52509411,1214104,242
"Barnstable County, MA, USA",138,2060,11.46425147,478154,95
"Los Angeles County, CA, USA",21,6540,22.40683727,1214104,242
"Pinellas County, FL, USA",51,2511,8.171421233,9904308,1980
"Martin County, FL, USA",24,8506,15.49835014,1363198,272
"Los Angeles County, CA, USA",36,2210,23.92078015,1214104,242
"Palm Beach County, FL, USA",1,9714,14.03244888,8732606,1746
"Will County, IL, USA",133,5889,24.99939558,7852531,1570
"San Diego County, CA, USA",111,9648,10.41452654,7853477,1570
"Ventura County, CA, USA",88,9486,24.81183997,11216018,2243
"Colleton County, SC, USA",113,1784,0.534083807,6327439,1265
"Ellis County, TX, USA",71,1962,20.36279326,8711267,1742
"Los Angeles County, CA, USA",26,8856,14.57047617,1214104,242
"Milwaukee County, WI, USA",123,4520,6.768209167,1417906,283
"Grays Harbor County, WA, USA",123,7776,5.293868391,12029490,2405
"New Haven County, CT, USA",75,3846,17.37341281,11309618,2261
"Manatee County, FL, USA",44,3182,22.09555041,11649638,2329
"St Lucie County, FL, USA",120,11374,16.66286292,7424019,1484
"Pinellas County, FL, USA",57,891,0.986906926,9904308,1980
"Currituck County, NC, USA",135,646,19.33009324,4103942,820
"Volusia County, FL, USA",53,2848,10.45046316,10409900,2081
"Brunswick County, NC, USA",93,8666,2.495280859,1486845,297
"Pinellas County, FL, USA",84,9248,4.55351692,9904308,1980
"Cuyahoga County, OH, USA",149,10496,2.26897769,11208521,2241
"Cook County, IL, USA",20,2626,10.69698041,9067522,1813
"Sonoma County, CA, USA",145,8140,14.59389778,4304791,860
"King County, WA, USA",142,8069,18.77413346,2726805,545
"Volusia County, FL, USA",60,580,17.11522298,10409900,2081
"Broward County, FL, USA",7,11602,9.831396292,2737526,547
"Honolulu County, HI, USA",103,308,17.30555619,458547,91
"Washington, DC, USA",106,2770,13.76099166,8678626,1735
"Douglas County, NE, USA",83,2291,20.73717655,10514390,2102
"Contra Costa County, CA, USA",11,4523,19.64283672,7141353,1428
"Fairfax County, VA, USA",30,2897,5.838010306,4147338,829
"Miami-Dade County, FL, USA",82,4274,16.89046553,4518308,903
"Los Angeles County, CA, USA",10,5372,12.18170685,1214104,242
"San Diego County, CA, USA",148,3700,21.54606567,7853477,1570
"Hamilton County, IN, USA",55,10793,19.66346758,2329623,465
"York County, ME, USA",19,9907,21.25208833,932384,186
"East Baton Rouge Parish, LA, USA",102,880,7.786057614,3497006,699
"Colleton County, SC, USA",133,1604,12.80220473,6327439,1265
"Sheboygan County, WI, USA",18,316,2.730886067,674491,134
"Santa Cruz County, CA, USA",120,6981,4.435798934,9311168,1862
"Colleton County, SC, USA",82,3518,16.84535244,6327439,1265
"Volusia County, FL, USA",20,1224,8.377460076,10409900,2081
"Volusia County, FL, USA",6,303,22.03016764,10409900,2081
"Kent County, DE, USA",52,6090,10.14576983,736114,147
"Pinellas County, FL, USA",39,481,5.164225514,9904308,1980
"San Diego County, CA, USA",2,2200,12.3822653,7853477,1570
"Walton County, FL, USA",128,9718,15.89163558,10587059,2117
"Erie County, PA, USA",102,4475,12.74887558,10452065,2090
"Fairfax County, VA, USA",90,10888,18.62401259,4147338,829
"Pinellas County, FL, USA",50,772,20.79152213,9904308,1980
"Nassau County, FL, USA",63,3878,22.99632159,4951852,990
"Palm Beach County, FL, USA",41,1200,9.561776169,8732606,1746
"East Baton Rouge Parish, LA, USA",57,759,16.35005164,3497006,699
"Los Angeles County, CA, USA",145,671,19.45314099,1214104,242
"Orange County, CA, USA",141,1215,3.136981693,6304735,1260
"King County, WA, USA",70,10271,13.32315168,2726805,545
"Honolulu County, HI, USA",78,1882,1.847469891,458547,91
"Virginia Beach, VA, USA",114,10790,9.054250745,8317810,1663
"Pinellas County, FL, USA",71,9601,13.94458422,9904308,1980
"Johnson County, IA, USA",141,2387,12.23677065,8642479,1728
"Cape May County, NJ, USA",58,4026,23.04001173,2080077,416
"New Hanover County, NC, USA",86,10048,17.1076772,2281116,456
"Galveston County, TX, USA",124,11172,9.717455622,1286716,257
"Volusia County, FL, USA",78,7836,11.40010045,10409900,2081
"Douglas County, NE, USA",107,10777,16.73562544,10514390,2102
"Los Angeles County, CA, USA",121,6729,22.21837364,1214104,242
"Brazoria County, TX, USA",43,7181,11.8131157,10194627,2038
"King County, WA, USA",81,8439,11.17090622,2726805,545
"Washington County, RI, USA",58,1469,11.53343157,5048667,1009
"Lane County, OR, USA",128,8790,18.45317193,6802530,1360
"Palm Beach County, FL, USA",6,5038,1.154785367,8732606,1746
"Honolulu County, HI, USA",37,2419,17.84257085,458547,91
"Volusia County, FL, USA",50,11577,24.0658824,10409900,2081
"Honolulu County, HI, USA",72,5899,24.98610219,458547,91
"Cook County, IL, USA",116,8576,13.27673615,9067522,1813
"Volusia County, FL, USA",29,11271,20.93044189,10409900,2081
"Pinellas County, FL, USA",74,5153,20.70269439,9904308,1980
"Cook County, IL, USA",5,10146,21.12248329,9067522,1813
"Los Angeles County, CA, USA",138,2175,21.5591718,1214104,242
"San Diego County, CA, USA",87,7672,14.27550445,7853477,1570
"Suffolk County, NY, USA",54,6502,0.873778367,9280308,1856
"Suffolk County, NY, USA",84,8322,2.337340202,9280308,1856
"Liberty County, GA, USA",16,5930,23.28932597,7707685,1541
"Suffolk County, NY, USA",89,11267,24.48887119,9280308,1856
"Brevard County, FL, USA",124,6162,7.110391691,10924815,2184
"King County, WA, USA",103,12212,17.89381715,2726805,545
"Carteret County, NC, USA",51,2200,21.96463731,1244281,248
"Colleton County, SC, USA",50,3365,19.71134122,6327439,1265
"Miami-Dade County, FL, USA",70,10075,17.01000029,4518308,903
"Indian River County, FL, USA",33,11492,15.02061925,4124460,824
"Hartford County, CT, USA",9,8841,22.65798319,9827347,1965
"Broward County, FL, USA",51,8269,9.493110322,2737526,547
"St Johns County, FL, USA",102,12192,16.22764059,9244498,1848
"Deschutes County, OR, USA",42,2980,17.30061685,10599316,2119
"San Mateo County, CA, USA",97,5668,17.31018246,7237370,1447
"San Mateo County, CA, USA",57,10547,23.00458083,7237370,1447
"San Luis Obispo County, CA, USA",103,8289,18.55087609,9389152,1877
"Norfolk County, MA, USA",132,6201,8.968119165,9624386,1924
"Worcester County, MD, USA",146,10588,18.71023618,3516629,703
"Suffolk County, NY, USA",112,921,17.8360117,9280308,1856
"Broward County, FL, USA",32,9478,9.825336458,2737526,547
"Riverside County, CA, USA",105,6121,6.002841746,6971851,1394
"Miami-Dade County, FL, USA",65,2733,9.373170654,4518308,903
"Carteret County, NC, USA",0,9648,2.123535896,1244281,248
"Washington, DC, USA",73,8222,6.437694571,8678626,1735
"Cook County, IL, USA",64,5934,1.464947931,9067522,1813
"Barnstable County, MA, USA",142,3051,15.1816468,478154,95
"Miami-Dade County, FL, USA",8,10039,15.8266424,4518308,903
"Nueces County, TX, USA",110,10326,17.27382053,2494422,498
"Cook County, IL, USA",112,11169,8.589964123,9067522,1813
"Maui County, HI, USA",129,9347,2.540986098,5575846,1115
"Kenosha County, WI, USA",7,192,11.21136306,7366853,1473
"Providence County, RI, USA",83,1658,21.57650038,8756613,1751
"San Diego County, CA, USA",116,11986,24.09515819,7853477,1570
"Indian River County, FL, USA",137,10724,14.95714992,4124460,824
"Los Angeles County, CA, USA",25,10815,5.595423787,1214104,242
"Santa Barbara County, CA, USA",48,4772,12.78782145,7045521,1409
"Monterey County, CA, USA",21,1757,21.41791668,5092501,1018
"Knox County, ME, USA",48,5875,10.36496197,9282054,1856
"Deschutes County, OR, USA",19,8999,1.180637321,10599316,2119
"Orange County, FL, USA",8,7594,5.128942547,4977527,995
"Indian River County, FL, USA",16,11899,23.94389202,4124460,824
"Escambia County, FL, USA",94,2397,7.460298821,2614549,522
"Lucas County, OH, USA",131,9625,1.583164798,3597514,719
"Miami-Dade County, FL, USA",104,2616,17.13299951,4518308,903
"Jasper County, IA, USA",76,10865,16.69322791,7246436,1449
"Anne Arundel County, MD, USA",100,7130,13.75330019,5778438,1155
"Lackawanna County, PA, USA",140,3790,20.3941129,5183741,1036
"Barnstable County, MA, USA",44,3249,21.25857933,478154,95
"San Luis Obispo County, CA, USA",18,8932,22.10126735,9389152,1877
"San Mateo County, CA, USA",11,8528,15.22424023,7237370,1447
"Indian River County, FL, USA",113,8512,3.544278538,4124460,824
"Susquehanna County, PA, USA",45,6751,22.44442225,752064,150
"Grand Traverse County, MI, USA",114,11234,24.9734767,4834907,966
"Leelanau County, MI, USA",58,8337,17.13133627,9538233,1907
"King County, WA, USA",56,925,20.6256432,2726805,545
"Cumberland County, PA, USA",91,7505,20.27609697,2067544,413
"Brevard County, FL, USA",69,3011,23.30846899,10924815,2184
"Wake County, NC, USA",140,8156,8.528368841,6072021,1214
"Brunswick County, NC, USA",91,7912,16.37927225,1486845,297
"Leelanau County, MI, USA",68,6741,16.11753173,9538233,1907
